diagnosis,note,ICD1,ICD2,ICD3,ICD4,ICD5
慢性關節炎,0,M139,,,,
慢性關節病變,0,M1999,,,,
慢性阻塞型肺衰竭,0,J449,,,,
慢性阻塞性動脈疾病,0,I749,,,,
慢性阻塞性呼吸疾病,0,J449,,,,
慢性阻塞性呼吸衰竭,1,J961,P285,,,
慢性阻塞性呼吸道感染,0,J449,,,,
慢性阻塞性呼吸道疾病,0,J449,,,,
慢性阻塞性呼吸道疾病急性發作,5,J449,J441,,,
慢性阻塞性呼吸道病變,0,J449,,,,
慢性阻塞性尿病變,1,N139,Q649,,,
慢性阻塞性心病變,0,I518,,,,
慢性阻塞性心肺疾病,1,I279,P968,,,
慢性阻塞性心肺症,1,I279,P968,,,
慢性阻塞性心臟疾病,1,I518,Q249,,,
慢性阻塞性心臟病,0,I519,,,,
慢性阻塞性性肝疾病,0,K769,,,,
慢性阻塞性換氣不良,0,J449,,,,
慢性阻塞性支氣管性肺炎,0,J448,,,,
慢性阻塞性支氣管擴張,1,J47,Q334,,,
慢性阻塞性支氣管炎,0,J448,,,,
慢性阻塞性支氣管炎急性發作,5,J448,J209,,,
慢性阻塞性支氣管疾病,0,J449,,,,
慢性阻塞性支氣管病變,0,J449,,,,
慢性阻塞性氣喘,0,J448,,,,
慢性阻塞性氣喘急性發作,5,J448,J441,,,
慢性阻塞性氣喘病,0,J448,,,,
慢性阻塞性氣管心肺炎,0,J448,,,,
慢性阻塞性氣管炎,0,J448,,,,
慢性阻塞性氣管炎急性惡化,0,J441,,,,
慢性阻塞性氣管炎急性發作,0,J441,,,,
慢性阻塞性氣管疾病,0,J449,,,,
慢性阻塞性氣管病變,0,J449,,,,
慢性阻塞性氣道疾病,0,J449,,,,
慢性阻塞性氣道疾病急性發作,5,J449,J441,,,
慢性阻塞性潰爛,0,L984,,,,
慢性阻塞性疾病,0,J449,,,,
慢性阻塞性結核病,1,A1690,P370,,,
慢性阻塞性肋膜炎,0,R091,,,,
慢性阻塞性肝炎,1,K739,P592,,,
慢性阻塞性肝病,0,K769,,,,
慢性阻塞性肝衰竭,0,K729,,,,
慢性阻塞性肺心症,1,I279,P968,,,
慢性阻塞性肺感染,0,J449,,,,
慢性阻塞性肺氣喘,1,J448,P250,,,
慢性阻塞性肺氣管炎,0,J449,,,,
慢性阻塞性肺氣管疾病,0,J449,,,,
慢性阻塞性肺氣腫,1,J448,P250,,,
慢性阻塞性肺氣腫急性發作,1,J448,P250,,,
慢性阻塞性肺水腫,0,J81,,,,
慢性阻塞性肺炎,0,J449,,,,
慢性阻塞性肺炎急性惡化,5,J449,J441,,,
慢性阻塞性肺炎急性感染,5,J449,J441,,,
慢性阻塞性肺炎急性發作,5,J449,J441,,,
慢性阻塞性肺炎感染,0,J449,,,,
慢性阻塞性肺炎症,0,J449,,,,
慢性阻塞性肺炎症急性發作,5,J449,J441,,,
慢性阻塞性肺疾,0,J449,,,,
慢性阻塞性肺疾二度感染,0,J449,,,,
慢性阻塞性肺疾併發感染,0,J449,,,,
慢性阻塞性肺疾急性惡化,5,J449,J441,,,
慢性阻塞性肺疾急性發作,5,J449,J441,,,
慢性阻塞性肺疾性心肺症,5,J449,I279,,,
慢性阻塞性肺疾患,0,J449,,,,
慢性阻塞性肺疾患二度感染,0,J449,,,,
慢性阻塞性肺疾感染,0,J449,,,,
慢性阻塞性肺疾病,0,J449,,,,
慢性阻塞性肺疾病合併感染,0,J449,,,,
慢性阻塞性肺疾病急性惡化,5,J449,J441,,,
慢性阻塞性肺疾病急性感染,5,J449,J441,,,
慢性阻塞性肺疾病急性發作,5,J449,J441,,,
慢性阻塞性肺疾病感染,0,J449,,,,
慢性阻塞性肺疾續發性感染,0,J449,,,,
慢性阻塞性肺病,0,J449,,,,
慢性阻塞性肺病二度感染,0,J449,,,,
慢性阻塞性肺病併二度感染,0,J449,,,,
慢性阻塞性肺病併急性發作,5,J449,J441,,,
慢性阻塞性肺病併感染,0,J449,,,,
慢性阻塞性肺病急性惡化,5,J449,J441,,,
慢性阻塞性肺病急性惡化二度感染,5,J449,J441,,,
慢性阻塞性肺病急性感染,5,J449,J441,,,
慢性阻塞性肺病急性發作,5,J449,J441,,,
慢性阻塞性肺病急性發作感染,5,J449,J441,,,
慢性阻塞性肺病急性發炎,5,J449,J441,,,
慢性阻塞性肺病急速惡化,5,J449,J441,,,
慢性阻塞性肺病惡化,0,J449,,,,
慢性阻塞性肺病感染,0,J449,,,,
慢性阻塞性肺病感染急性發作,5,J449,J441,,,
慢性阻塞性肺病發作,0,J449,,,,
慢性阻塞性肺病續發性感染,0,J449,,,,
慢性阻塞性肺病變,0,J449,,,,
慢性阻塞性肺症,0,J449,,,,
慢性阻塞性肺症感染,0,J449,,,,
慢性阻塞性肺癆,1,A162,P370,,,
慢性阻塞性肺癌,0,C349,,,,
慢性阻塞性肺結核,1,A162,P370,,,
慢性阻塞性肺臟病,0,J449,,,,
慢性阻塞性肺衰竭,0,J449,,,,
慢性阻塞性肺部疾病,0,J449,,,,
慢性阻塞性肺部疾病二度感染,0,J449,,,,
慢性阻塞性肺部疾病急性發作,5,J449,J441,,,
慢性阻塞性肺部病變,0,J449,,,,
慢性阻塞性肺障礙,0,J449,,,,
慢性阻塞性腎病,1,N138,Q623,,,
慢性阻塞性腎病變,1,N138,Q623,,,
慢性阻塞性腦中風,0,I6359,,,,
慢性阻塞性腦中風後遺症,0,I6949,,,,
慢性阻塞性腸炎,1,K566,P769,,,
慢性阻塞性血管炎,0,I776,,,,
慢性阻塞性衰竭,1,R092,P290,,,
慢性阻塞性通氣障礙,0,J449,,,,
慢性阻塞氣管炎,0,J448,,,,
慢性阻塞肺疾,0,J449,,,,
慢性阻塞肺疾病,0,J449,,,,
慢性阻塞肺病,0,J449,,,,
慢性阻塞肺病二度感染,0,J449,,,,
慢性阻塞肺病急性發作,5,J449,J441,,,
慢性阻斷性肺疾病,0,J449,,,,
慢性降主動脈剝離性動脈瘤,0,I710(nTR),,,,
慢性降主動脈弓剝離,0,I710(nTR),,,,
慢性降胸主動脈剝離,0,I710(nTR),,,,
慢性限制性肺病,1,J9840,P289,,,
慢性陣發性癲癇症,0,G409,,,,
慢性陳舊性肺病變,0,J9840,,,,
慢性陳舊性腦中風,0,I6949,,,,
慢性非淋巴性白血病,0,C951,,,,
慢性非酒精性肝病,0,K769,,,,
慢性頑固性下痢,1,K529,P783,,,
慢性頭暈,0,R42,,,,
慢性頭痛,0,R51,,,,
慢性頸部淋巴腺炎,0,I881,,,,
慢性頸部骨髓炎,0,M866,,,,
慢性顆粒性白血病,0,C951,,,,
慢性類風濕性心臟瓣膜疾病,0,I091,,,,
慢性類風濕關節炎,0,M069,,,,
慢性顱內出血,3,I629(nTR),S068(TR),P529,,
慢性顱腦出血,3,I6199(nTR),S063(TR),P524,,
慢性顳骨脊椎炎,0,M469,,,,
慢性風濕性二尖瓣閉鎖不全,1,I051(RH),Q233,,,
慢性風濕性心包膜炎,0,I092,,,,
慢性風濕性心臟病,0,I099,,,,
慢性風濕性樣關節纖維病,0,M069,,,,
慢性風濕性神經痛,0,M790,,,,
慢性風濕性關節炎,0,M069,,,,
慢性風濕樣結節性纖維炎,0,M063,,,,
慢性風濕樣關節炎,0,M069,,,,
慢性風濕病,0,M069,,,,
慢性食道潰瘍出血,5,K221,K228,,,
慢性食道炎,0,K20,,,,
慢性食道狹窄,1,K222(nTR),Q393,,,
慢性飲酒,0,F101,,,,
慢性骨衰竭,1,M899,Q799,,,
慢性骨質退化,0,M898,,,,
慢性骨關節炎,0,M1999,,,,
慢性骨骼關節疾病,0,M1999,,,,
慢性骨髓分化不良症,0,D469,,,,
慢性骨髓單核球性白血病,0,C931,,,,
慢性骨髓單核球白血病,0,C931,,,,
慢性骨髓單核細胞性白血病,0,C931,,,,
慢性骨髓單細胞白血病,0,C927,,,,
慢性骨髓增殖性疾病,0,D471,,,,
慢性骨髓增生性疾病,0,D471,,,,
慢性骨髓增生性白血病,0,C921,,,,
慢性骨髓增生症,0,D471,,,,
慢性骨髓增生腫瘤,0,D471,,,,
慢性骨髓性單核球性白血病,0,C931,,,,
慢性骨髓性淋巴癌,0,C859,,,,
慢性骨髓性疾病,0,G959(nTR),,,,
慢性骨髓性白血單核球白血病,0,C931,,,,
慢性骨髓性白血球過多症,0,C921,,,,
慢性骨髓性白血病,0,C921,,,,
慢性骨髓性白血病急性發作,5,C921,C920,,,
慢性骨髓性白血病急性變化,5,C921,C920,,,
慢性骨髓性白血病急性轉變,5,C921,C920,,,
慢性骨髓性血液疾病,1,D759,P619,,,
慢性骨髓性血癌,0,C921,,,,
慢性骨髓性血癌急性惡化,5,C921,C920,,,
慢性骨髓性退化性疾病,0,G318,,,,
慢性骨髓性顆粒白血病,0,C921,,,,
慢性骨髓淋巴瘤,0,C859,,,,
慢性骨髓炎,0,M866,,,,
慢性骨髓球性白血病,0,C921,,,,
慢性骨髓病,0,G959(nTR),,,,
慢性骨髓瘤,0,C900,,,,
慢性骨髓癌,0,C900,,,,
慢性骨髓移植後排斥,5,T860,Y834,,,
慢性骨髓細胞增生,0,D471,,,,
慢性骨髓細胞性白血病,0,C921,,,,
慢性骨髓纖維症,0,D471,,,,
慢性骨髓腫瘤,0,D479,,,,
慢性骨髓造血疾病,1,D759,P619,,,
慢性體能退化,0,R54,,,,
慢性髖關節感染,0,M009,,,,
慢性高二氧化碳血症,0,E872,,,,
慢性高尿酸血症,0,E790,,,,
慢性高碳酸血性呼吸衰竭,1,J961,P285,,,
慢性高碳酸血症,0,E838,,,,
慢性高血壓,0,I10,,,,
慢性高血壓心臟病,1,I119,P298,,,
慢性高血壓心臟血管疾病,0,I119,,,,
慢性高血壓性心臟病,1,I119,P298,,,
慢性高血壓性心衰竭,1,I110,P290,,,
慢性高血酯,0,E785,,,,
慢性鬱血性心肺衰竭,1,R092,P290,,,
慢性鬱血性心腎肺衰竭,5,I5009,N189,,,
慢性鬱血性心臟病,1,I5009,P290,,,
慢性鬱血性心臟衰竭,1,I5009,P290,,,
慢性鬱血性心衰竭,1,I5009,P290,,,
慢性鬱血性肺衰竭,1,J961,P285,,,
慢性鬱血性腎衰竭,1,N189,P960,,,
慢性鼻咽炎,0,J311,,,,
慢性鼻炎,0,J310,,,,
慢性鼻竇炎,0,J329,,,,
慢性鼻竇炎急性發作,5,J019,J329,,,
憂鬱,0,F329,,,,
憂鬱傾向,0,F329,,,,
憂鬱妄想型,5,F329,F220,,,
憂鬱性疾患,0,F329,,,,
憂鬱性精神疾病,0,F329,,,,
憂鬱症,0,F329,,,,
憋氣發作,3,R090,T71,P219,,
憩室套疊,5,K579,K561,,,
憩室炎,1,K579,Q438,,,
憩室炎出血,1,K579,Q438,,,
憩室炎破裂,1,K578,Q438,,,
憩室炎破裂術後併吻合處潰瘍出血,1,K572,Q438,,,
憩室炎穿孔,1,K578,Q438,,,
憩室症,1,K579,Q438,,,
憩室破裂,1,K578,Q438,,,
應激性心肌病變,1,I4289,P298,,,
懷孕,0,O269,,,,
懷孕母親車禍,0,V892,,,,
懷孕泌尿道感染,0,O239,,,,
懸壅垂癌,0,C052,,,,
懸縊,7,T71,W76,X70,X91,Y20
懸胰壺腹癌,0,C241,,,,
懸雍垂惡性腫瘤,0,C052,,,,
懸雍垂癌,0,C052,,,,
懸雍垂腫瘤,0,D370,,,,
懸頸,7,T71,W76,X70,X91,Y20
懼高症,0,F402,,,,
戈登鏈球菌,0,A491,,,,
戊二酸代謝異常,0,E723,,,,
戊二酸血症,0,E723,,,,
成人T細胞淋巴性白血病,0,C915,,,,
成人T細胞淋巴瘤,0,C915,,,,
成人T細胞淋巴癌,0,C915,,,,
成人T細胞白血病,0,C915,,,,
成人免疫不全症候群,0,D849,,,,
成人史底耳氏症,0,M061,,,,
成人史笛爾氏症候群,0,M061,,,,
成人史迪爾氏症候群,0,M061,,,,
成人呼吸困難,0,R060,,,,
成人呼吸窘迫,0,J80,,,,
成人呼吸窘迫性症候群,0,J80,,,,
成人呼吸窘迫症,0,J80,,,,
成人呼吸窘迫症候群,0,J80,,,,
成人呼吸衰竭,0,J969,,,,
成人型T細胞白血病,0,C915,,,,
成人型史笛兒氏症,0,M061,,,,
成人型呼吸窘迫症,0,J80,,,,
成人型多囊腎,0,Q612,,,,
成人型急性呼吸窘迫症,0,J80,,,,
成人型糖尿病,1,E119,P702,,,
成人後天免疫不全症候群,0,B24,,,,
成人心因性休克,3,R570,T794,P968,,
成人急性呼吸窘迫症侯群,0,J80,,,,
成人斯蒂爾病,0,M061,,,,
成人淋巴血癌,0,C919,,,,
成人猝死症候群,0,R960,,,,
成人發作型史迪爾氏症,0,M061,,,,
成人睡眠呼吸中止症候群,1,G473,P283,,,
成人窘迫呼吸症候群,0,J80,,,,
成人窘迫性呼吸衰竭,0,J80,,,,
成人腎母細胞癌,0,C64,,,,
成人阻塞性肺疾,0,J449,,,,
成人阻塞性肺病,0,J449,,,,
成年型史迪爾氏症,0,M061,,,,
成形不全性貧血,1,D619,P614,,,
成形性不全貧血,1,D619,P614,,,
成熟B細胞伯基特白血病,0,C917,,,,
成癮性毒藥物中毒,7,T659,X49,X69,X90,Y19
成癮性藥物中毒,7,T409,X42,X62,X85,Y12
成癮性藥物中毒(F),0,F192,,,,
成癮性酒精中毒,7,T519,X45,X65,X85,Y15
成骨不全,0,Q780,,,,
戒斷症候群,0,F193,,,,
截斷靜脈導管,7,T145,W269,X78,X99,Y28
截肢併發症,5,T876,Y835,,,
截肢傷口不癒,5,T876,Y835,,,
截肢傷口感染,5,T874,Y835,,,
截肢傷口發炎,5,T874,Y835,,,
截肢壞死,5,T875,Y835,,,
截肢後併感染,5,T874,Y835,,,
截肢後感染,5,T874,Y835,,,
截肢性碎裂性骨折,0,T142,,,,
截肢處壞疽,5,T875,Y835,,,
戰死,0,Y369,,,,
戰爭死亡,0,Y369,,,,
戰車失控事故,0,V98,,,,
戰車翻覆墜溪,0,V98,,,,
戰車與行人擦撞,6,V060,X82,Y03,Y32,
戲水溺斃,5,T751,W74,,,
戲水落海,7,T751,W70,X71,X92,Y21
房事過度,5,T733,X50,,,
房內燒木炭,7,T58,X472,X672,X882,Y172
房室中隔缺損,1,I510,Q219,,,
房室傳導完全阻斷,1,I442,Q246,,,
房室傳導異常,1,I443,Q246,,,
房室傳導阻斷,1,I443,Q246,,,
房室傳導阻滯,1,I443,Q246,,,
房室傳導障礙,1,I443,Q246,,,
房室內墊缺損,1,I510,Q212,,,
房室完全傳導阻斷,1,I442,Q246,,,
房室完全阻斷,1,I442,Q246,,,
房室心律傳導阻斷,1,I443,Q246,,,
房室瓣疾病,1,I38,Q248,,,
房室瓣膜閉鎖不全,1,I38,Q248,,,
房室瓣逆流,1,I340,Q233,,,
房室瓣閉鎖不全,1,I38,Q248,,,
房室竇傳導阻塞,1,I443,Q246,,,
房室竇傳導阻礙,1,I443,Q246,,,
房室竇節病變,1,I498,P291,,,
房室節律阻斷,1,I443,Q246,,,
房室節心律過緩,1,R001,P291,,,
房室結出血,2,I518,S260,,,
房室結完全阻斷,1,I442,Q246,,,
房室結緩脈,1,R001,P291,,,
房室結纖維化,0,I5149,,,,
房室結血管瘤,0,D180,,,,
房室結迴旋性頻脈,1,I471,P291,,,
房室結阻斷,1,I443,Q246,,,
房室解離,1,I443,Q246,,,
房室阻斷,1,I443,Q246,,,
房屋上跌落,6,W13,X80,Y01,Y30,
房屋倒塌,6,W20,X83,Y08,Y33,
房屋塌落,6,W20,X83,Y08,Y33,
房屋失火,6,X00,X76,X97,Y26,
房屋火災,6,X00,X76,X97,Y26,
房屋起火,6,X00,X76,X97,Y26,
房竇停止,1,I469,P290,,,
房竇結障礙,1,I498,P291,,,
房竇衰弱症,1,I498,P291,,,
房間內燃燒雜物,7,T58,X473,X673,X883,Y173
房間內燒炭,7,T58,X472,X672,X882,Y172
房間內燒碳,7,T58,X472,X672,X882,Y172
房間燒檀香,7,T58,X473,X673,X883,Y173
扁平上皮癌,0,C449,,,,
扁平上皮細胞癌,0,C449,,,,
扁平上皮細胞肺癌,0,C349,,,,
扁平細胞癌,0,C449,,,,
扁平細胞癌術後,0,C449,,,,
扁平細胞肺癌,0,C349,,,,
扁平腺皮膚癌,0,C449,,,,
扁平頭,0,Q759,,,,
扁平顱骨破裂,0,S029,,,,
扁平鱗狀上皮細胞癌,0,C449,,,,
扁桃体癌,0,C099,,,,
扁桃周圍膿腫,0,J36,,,,
扁桃癌,0,C099,,,,
扁桃腺上皮癌,0,C099,,,,
扁桃腺乳頭狀癌出血,0,C099,,,,
扁桃腺前柱鱗狀細胞癌,0,C091,,,,
扁桃腺周圍膿瘍,0,J36,,,,
扁桃腺惡性腫瘤,0,C099,,,,
扁桃腺惡性腫瘤出血,0,C099,,,,
扁桃腺惡性軟骨肉瘤,0,C099,,,,
扁桃腺扁平上皮細胞癌,0,C099,,,,
扁桃腺扁平鱗狀細胞癌,0,C099,,,,
扁桃腺柱惡性腫瘤,0,C091,,,,
扁桃腺淋巴癌,0,C859,,,,
扁桃腺潰瘍出血,0,J358,,,,
扁桃腺炎,0,J039,,,,
扁桃腺癌,0,C099,,,,
扁桃腺癌出血,0,C099,,,,
扁桃腺神經內分泌腫瘤,0,C099,,,,
扁桃腺窩惡性腫瘤,0,C090,,,,
扁桃腺窩癌,0,C090,,,,
扁桃腺肥大,0,J351,,,,
扁桃腺腫瘤,0,D370,,,,
扁桃腺膿瘍,0,J36,,,,
扁桃腺轉移,0,C798,,,,
扁桃腺非何杰金氏淋巴癌,0,C859,,,,
扁桃腺體惡性腫瘤,0,C099,,,,
扁桃腺體癌,0,C099,,,,
扁桃腺鱗狀上皮癌,0,C099,,,,
扁桃腺鱗狀上皮細胞癌,0,C099,,,,
扁桃腺鱗狀細胞癌,0,C099,,,,
扁桃體癌,0,C099,,,,
扁桃體腦脫疝,2,G935,S062(TR),,,
手三度燒燙傷,7,T233,X09,X76,X97,Y26
手上皮癌,0,C446,,,,
手二度燙傷,7,T232,X09,X76,X97,Y26
手人工動靜脈廔管感染,5,T827,Y832,,,
手人造血管感染,5,T827,Y832,,,
手傷口,2,L984,S619,,,
手傷口感染,2,L088,T793,,,
手傷口骨髓炎,0,M869,,,,
手前臂前部銳器傷,7,S519,W269,X78,X99,Y28
手動脈狹窄,0,I771(nTR),,,,
手動脈瘤破裂,0,I721(nTR),,,,
手動脈血管血栓栓塞,0,I742,,,,
手動脈阻塞,0,I742,,,,
手動靜脈廔管感染,5,T827,Y832,,,
手動靜脈廔管阻塞,5,T828,Y832,,,
手口足病,0,B084,,,,
手口足症,0,B084,,,,
手壞死,0,R02,,,,
手壞死性筋膜炎,0,M726,,,,
手壞死性肌膜炎,0,M726,,,,
手壞死性骨髓炎,0,M869,,,,
手壞疽,0,R02,,,,
手外傷,0,S699,,,,
手多指,0,Q699,,,,
手巨血管瘤,0,D180,,,,
手廔管感染,5,T827,Y832,,,
手廔管阻塞,5,T828,Y832,,,
手惡性組織細胞癌,0,C491,,,,
手感染,0,L088,,,,
手感染性潰瘍,0,L984,,,,
手感染腫脹,0,L089,,,,
手扭傷,0,S637,,,,
手扶車不慎跌倒,0,W19,,,,
手抓傷,0,X58,,,,
手拇指側電入口,7,T754,W87,X83,Y08,Y33
手拇指壓瘡,0,L899,,,,
手指乾疽,0,R02,,,,
手指傷口感染,2,L088,T793,,,
手指化膿性細菌感染,0,L088,,,,
手指壞死,0,R02,,,,
手指壞疽,0,R02,,,,
手指慢性潰瘍,0,L984,,,,
手指扁平細胞癌,0,C446,,,,
手指栓塞,0,I742,,,,
手指異常結構,0,Q740,,,,
手指畸形,0,Q740,,,,
手指纖維性壞死,0,R02,,,,
手指蜂窩組織炎,0,L031,,,,
手指關節感染,0,M009,,,,
手指骨折,0,S626,,,,
手指骨髓炎,0,M869,,,,
手捲入車床內,6,W31,X83,Y08,Y33,
手掌指電灼傷,5,T230,W87,,,
手掌燒傷,7,T230,X09,X76,X97,Y26
手掌穿剌傷,7,S618,W269,X78,X99,Y28
手掌離斷,0,S688,,,,
手掌骨壞疽,0,R02,,,,
手槍射擊,6,W32,X72,X93,Y22,
手槍自殺,0,X72,,,,
手橈動脈出血,3,R5800,S551,P548,,
手橈動脈斷裂,0,S551,,,,
手橈骨轉移,0,C795,,,,
手浮腫,1,R600,P833,,,
手深部血栓靜脈炎,0,I808,,,,
手潰爛,0,L984,,,,
手灼傷,7,T230,X09,X76,X97,Y26
手燒傷,7,T230,X09,X76,X97,Y26
手燒灼傷,7,T230,X09,X76,X97,Y26
手燙傷,7,T230,X09,X76,X97,Y26
手神經叢損傷,2,G540,S449,,,
手第四伸指肌腱斷裂,0,S663,,,,
手缺血性壞死,0,R02,,,,
手肘切割傷,7,S510,W269,X78,X99,Y28
手肘動脈銳器割創,7,S559,W269,X78,X99,Y28
手肘壓瘡,0,L899,,,,
手肘惡性腫瘤,0,C764,,,,
手肘挫傷,0,S500,,,,
手肘水腫,1,R600,P833,,,
手肘皮膚癌,0,C446,,,,
手肘細菌性關節炎,0,M009,,,,
手肘細菌感染,0,L088,,,,
手肘結核菌感染症,1,A184,P370,,,
手肘膿瘍,0,L024,,,,
手肘蜂窩性組織炎,0,L031,,,,
手肘血管破裂出血,3,R5800,S559,P548,,
手肘裂傷,0,S510,,,,
手肘關節膿瘍,0,M009,,,,
手肘骨折,0,S520,,,,
手肘骨髓炎,0,M869,,,,
手肱動脈阻塞,0,I742,,,,
手背傷口感染,2,L088,T793,,,
手背刺傷,7,S619,W269,X78,X99,Y28
手背血腫,3,R5800,S609,P548,,
手脫臼,0,S630,,,,
手腕傷口,2,L984,S619,,,
手腕傷口感染,2,L088,T793,,,
手腕切創,7,S619,W269,X78,X99,Y28
手腕切創傷,7,S619,W269,X78,X99,Y28
手腕利器割傷,7,S619,W269,X78,X99,Y28
手腕前部銳器傷,7,S619,W269,X78,X99,Y28
手腕割傷,7,S619,W269,X78,X99,Y28
手腕割裂傷,7,S619,W269,X78,X99,Y28
手腕動靜脈斷裂,0,S659,,,,
手腕壞死,0,R02,,,,
手腕斷裂,0,S684,,,,
手腕砍斷,7,S684,W269,X78,X99,Y28
手腕結核菌感染,1,A184,P370,,,
手腕脫臼,0,S630,,,,
手腕腔室症侯群,0,G560,,,,
手腕膿瘍,0,L024,,,,
手腕蜂窩組織炎,0,L031,,,,
手腕部割傷,7,S619,W269,X78,X99,Y28
手腕銳器傷,7,S619,W269,X78,X99,Y28
手腕靜脈斷裂,0,S659,,,,
手腕骨折,0,S621,,,,
手腕骨折術後敗血症,5,T814,Y838,,,
手腳麻感,0,R208,,,,
手腳麻痺,0,G825(nTR),,,,
手腿撞挫傷,5,S602,S709,,,
手膿瘍,0,L024,,,,
手臂假性動脈瘤,0,I721(nTR),,,,
手臂傷口,2,L984,S519,,,
手臂切割傷,7,S519,W269,X78,X99,Y28
手臂割創,7,S519,W269,X78,X99,Y28
手臂動脈銳器傷,7,S619,W269,X78,X99,Y28
手臂動脈阻塞,0,I742,,,,
手臂動靜脈廔管出血,5,T828,Y832,,,
手臂動靜脈廔管感染,5,T827,Y832,,,
手臂動靜脈廔管破裂,5,T824,Y832,,,
手臂壞死性筋膜炎,0,M726,,,,
手臂壞死性蜂窩性組織炎,0,L031,,,,
手臂壞疽,0,R02,,,,
手臂外傷,0,T119,,,,
手臂多發性刀傷,7,S519,W260,X78,X99,Y28
手臂大血管破裂,2,I772(nTR),T114,,,
手臂惡性淋巴瘤,0,C859,,,,
手臂惡性纖維瘤,0,C491,,,,
手臂惡性肉瘤,0,C491,,,,
手臂感染,0,L088,,,,
手臂撕裂傷,0,S519,,,,
手臂斷裂,0,T116,,,,
手臂植體感染,5,T857,Y832,,,
手臂淋巴管阻塞,0,I890,,,,
手臂深度感染,0,L088,,,,
手臂神經內分泌腫瘤,0,C491,,,,
手臂結締組織惡性腫瘤,0,C491,,,,
手臂肉瘤,0,C491,,,,
手臂脫臼,0,S531,,,,
手臂腔室症候群,0,I871(nTR),,,,
手臂腫塊,0,D487,,,,
手臂腫瘤,0,D487,,,,
手臂膿瘍,0,L024,,,,
手臂蜂窩組織炎,0,L031,,,,
手臂血腫,3,R5800,T110,P548,,
手臂褥瘡感染,0,L899,,,,
手臂間室症候群,0,I871(nTR),,,,
手臂骨折,0,T10,,,,
手臂鱗狀細胞癌,0,C446,,,,
手蛇咬傷後遺症,5,T97,Y86,,,
手蜂窩性組織炎,0,L031,,,,
手蜂窩性組織癌,0,C446,,,,
手血管瘤破裂,0,D180,,,,
手血管阻塞壞死,0,I742,,,,
手術中出血,5,T810,Y839,,,
手術中心臟衰竭,5,T818,Y839,,,
手術中過敏性休克,5,T811,Y839,,,
手術大量出血,5,T810,Y839,,,
手術後不吸收症,5,K912,Y839,,,
手術後休克,5,T811,Y839,,,
手術後傷口感染,5,T814,Y839,,,
手術後傷口癒合不良,5,T813,Y839,,,
手術後全身感染,5,T814,Y839,,,
手術後合併症,5,T819,Y839,,,
手術後呼吸道院內感染,5,T814,Y839,,,
手術後引流管發炎,5,T857,Y848,,,
手術後心肌梗塞,5,I2199,Y839,,,
手術後心肺衰竭,5,T818,Y839,,,
手術後心衰竭,5,T818,Y839,,,
手術後感染,5,T814,Y839,,,
手術後泌尿道院內感染,5,T814,Y839,,,
手術後痴呆,5,F03,Y839,,,
手術後胃潰瘍,5,K259,Y839,,,
手術後衰竭,5,T818,Y839,,,
手足口病,0,B084,,,,
手足口症,0,B084,,,,
手足末端潰瘍,0,L984,,,,
手足潰瘍,0,L984,,,,
手足症候群,0,L271,,,,
手軟組織感染,0,L088,,,,
手部二度灼傷,7,T232,X09,X76,X97,Y26
手部傷,0,S619,,,,
手部割腕傷,7,S619,W269,X78,X99,Y28
手部潰爛,0,L984,,,,
手部潰爛萎縮,0,L984,,,,
手部痙攣,1,R290,P713,,,
手部皮膚瘤,0,D485,,,,
手部皮膚癌,0,C446,,,,
手部穿刺傷,7,S619,W269,X78,X99,Y28
手部腫塊,0,D487,,,,
手部膿瘍,0,L024,,,,
手部電擊灼傷,5,T230,W87,,,
手部骨折,0,S628,,,,
手部黴菌感染,0,B488,,,,
手開放性傷口感染,2,L088,T793,,,
手靜脈血栓栓塞,0,I828,,,,
手骨骨折,0,S628,,,,
手鱗狀上皮惡性瘤,0,C446,,,,
手鱗狀細胞癌,0,C446,,,,
打架,6,X58,X83,Y04,Y33,
打火機點菸引燃衣褲,6,X09,X76,X97,Y26,
打針後發作,5,T888,Y848,,,
扭傷,0,T143,,,,
扼死,7,T71,W76,X70,X91,Y20
扼頸,7,T71,W76,X70,X91,Y20
抑制性中樞神經休克,3,R578,T794,P968,,
抑血性心臟衰竭,1,I509,P290,,,
抑血性心衰竭,1,I509,P290,,,
抑鬱症,0,F329,,,,
抓衣領勒住頸部,7,T71,W76,X70,X91,Y20
投水,7,T751,W74,X71,X92,Y21
投水自殺,5,T751,X71,,,
投潭溺斃,5,T751,X71,,,
抗中性白血球細胞質抗體陽性,0,M301,,,,
抗凝劑過量,7,T455,X44,X64,X85,Y14
抗凝脂抗體症候群,0,R894,,,,
抗凝血劑超量,7,T455,X44,X64,X85,Y14
抗凝血劑過量,7,T455,X44,X64,X85,Y14
抗凝血藥中毒,7,T455,X44,X64,X85,Y14
抗凝血藥物過量,7,T455,X44,X64,X85,Y14
抗凝血酵素III缺乏症,0,D688,,,,
抗利尿激素不足症候群,0,E222,,,,
抗利尿激素分泌不全症,0,E222,,,,
抗利尿激素分泌不當症候群,0,E222,,,,
抗利尿激素分泌失調症候群,0,E222,,,,
抗利尿激素過多,0,E222,,,,
抗卵磷脂症候群,0,R894,,,,
抗卵磷脂質抗體症,0,R894,,,,
抗嗜中性球細胞質抗體症候群,0,R894,,,,
抗嗜中性球細胞質抗體血管炎,0,M301,,,,
